"","x"
"1","X"
"2","X"
"3","X"
"4","ABCC12"
"5","ABRA"
"6","ACMSD"
"7","ACRV1"
"8","ACSM2A"
"9","ACTL7A"
"10","ACTL9"
"11","ADAM30"
"12","ADH4"
"13","AGXT2"
"14","AKAP4"
"15","ALAS2"
"16","ALB"
"17","ALDOB"
"18","AMBP"
"19","AMDHD1"
"20","ANKRD34C"
"21","APCS"
"22","APOA1"
"23","APOA2"
"24","APOBEC2"
"25","APOB"
"26","APOC3"
"27","APOF"
"28","ARPP21"
"29","ASAP1IT1"
"30","ASB17"
"31","ASB18"
"32","BEYLA"
"33","BIRC8"
"34","BPESC1"
"35","BTNL3"
"36","C10orf40"
"37","C10orf53"
"38","C11orf40"
"39","C11orf64"
"40","C13orf35"
"41","C14orf70"
"42","C15orf2"
"43","C15orf5"
"44","C16orf82"
"45","C17orf102"
"46","C18orf62"
"47","C1orf185"
"48","C20orf79"
"49","C21orf62"
"50","C21orf99"
"51","C2orf53"
"52","C2orf57"
"53","C2orf78"
"54","C3orf27"
"55","C4orf40"
"56","C6orf146"
"57","C7orf69"
"58","C9orf144B"
"59","C9orf144"
"60","C9orf57"
"61","C9orf79"
"62","CACNG3"
"63","CADM2"
"64","CCDC54"
"65","CCR9"
"66","CCT8L2"
"67","CDCP2"
"68","CDH19"
"69","CDY2B"
"70","CEACAM18"
"71","CFHR2"
"72","CFHR5"
"73","CHRM2"
"74","CLRN1"
"75","CPN1"
"76","CRB1"
"77","CRP"
"78","CSHL1"
"79","CSMD3"
"80","CSN1S1"
"81","CSN2"
"82","CSN3"
"83","CST11"
"84","CST9L"
"85","CTNNA3"
"86","CXorf1"
"87","CYLC1"
"88","CYLC2"
"89","CYP11B1"
"90","DAD1L"
"91","DBX2"
"92","DDI1"
"93","DEFB104A"
"94","DEFB118"
"95","DEFB122"
"96","DEFB125"
"97","DEFB127"
"98","DEFB129"
"99","DKFZP434H168"
"100","DKFZP434L187"
"101","DPRX"
"102","DPYS"
"103","EPHA8"
"104","ETV3L"
"105","F13B"
"106","F9"
"107","FABP1"
"108","FAM135B"
"109","FAM138B"
"110","FAM138E"
"111","FAM138F"
"112","FAM182B"
"113","FAM187B"
"114","FAM19A1"
"115","FAM47B"
"116","FAM55A"
"117","FAM58B"
"118","FAM71C"
"119","FAM92A3"
"120","FAM99A"
"121","FBXO40"
"122","FGB"
"123","FGF6"
"124","FKSG73"
"125","FKSG83"
"126","FLJ43390"
"127","FLJ43859"
"128","FLJ43950"
"129","FLJ45079"
"130","FLJ46321"
"131","FOXG1"
"132","FSCB"
"133","FSCN3"
"134","FSHR"
"135","FTMT"
"136","G6PC"
"137","GC"
"138","GDEP"
"139","GDF2"
"140","GDF3"
"141","GDPD4"
"142","GIF"
"143","GJA10"
"144","GJA8"
"145","GK2"
"146","GLYAT"
"147","GPR119"
"148","GPR128"
"149","GPR139"
"150","GPR148"
"151","GPR151"
"152","GPR45"
"153","GPR6"
"154","GPX5"
"155","GRM6"
"156","GSTT1"
"157","GYPA"
"158","HBG1"
"159","HBG2"
"160","HFE2"
"161","HILS1"
"162","HIST1H2AA"
"163","HIST1H4L"
"164","HMGB3L1"
"165","HMGB4"
"166","HNRNPCL1"
"167","HORMAD2"
"168","HOXD3"
"169","HOXD4"
"170","HPVC1"
"171","HSD3B2"
"172","HSFYL1"
"173","HTA"
"174","HTR1A"
"175","HTR1E"
"176","HTR4"
"177","IFNA14"
"178","IFNA16"
"179","IFNA17"
"180","IFNA21"
"181","IFNA4"
"182","IFNA5"
"183","IFNA7"
"184","IFNB1"
"185","IFNW1"
"186","IGFBP1"
"187","IL5"
"188","IQCF1"
"189","IQCF2"
"190","IQCF5"
"191","IQCJ"
"192","ISLR2"
"193","KCNA10"
"194","KCNK16"
"195","KDM4DL"
"196","KIAA0776"
"197","KIAA1486"
"198","KIF2B"
"199","KLKB1"
"200","KNG1"
"201","KRTAP10"
"202","KRTAP10"
"203","KRTAP10"
"204","KRTAP10"
"205","KRTAP12"
"206","KRTAP12"
"207","KRTAP13"
"208","KRTAP13"
"209","KRTAP15"
"210","KRTAP19"
"211","KRTAP21"
"212","KRTAP24"
"213","KRTAP26"
"214","KRTAP4"
"215","KRTAP4"
"216","KRTAP5"
"217","KRTAP5"
