"","x"
"1","X"
"2","ABCG5"
"3","ABCG8"
"4","ACTL6B"
"5","ADAD1"
"6","ADRB3"
"7","ANO3"
"8","ASB5"
"9","ATXN3L"
"10","ATXN8OS"
"11","BLID"
"12","C14orf53"
"13","C9orf71"
"14","CHRM4"
"15","CRISP1"
"16","CSNK1A1P"
"17","CT47A10"
"18","CT47A6"
"19","CT47A7"
"20","CT47B1"
"21","DCAF4L1"
"22","DCAF8L1"
"23","FAM27L"
"24","FMR1NB"
"25","FOXR2"
"26","FSHB"
"27","IGSF5"
"28","INSL6"
"29","KCNC1"
"30","KLK3"
"31","KRT39"
"32","LEP"
"33","LOC144776"
"34","LOC154822"
"35","LOC401387"
"36","LOXHD1"
"37","MAEL"
"38","MAGEC3"
"39","NCRNA00114"
"40","NR1H4"
"41","OR2W1"
"42","OR2W5"
"43","OR52E6"
"44","OR52H1"
"45","OR6C76"
"46","PAGE5"
"47","PLSCR2"
"48","PPP1R3A"
"49","PSMA8"
"50","RBMXL3"
"51","RFPL4B"
"52","RHOXF1"
"53","RNF113B"
"54","SLC22A14"
"55","SLC30A8"
"56","SLITRK1"
"57","SSX1"
"58","SSX2"
"59","SSX3"
"60","SSX7"
"61","SSX8"
"62","TDRG1"
"63","TEX13A"
"64","TEX13B"
"65","TGM7"
"66","TSPYL6"
"67","UBE2DNL"
"68","VCX2"
"69","WDR87"
"70","XAGE5"
