"","x"
"1","ABAT"
"2","ABCA4"
"3","ABCA5"
"4","ABCB6"
"5","ABCC1"
"6","ABCC2"
"7","ABCC3"
"8","ABCG2"
"9","ABHD15"
"10","ABHD2"
"11","ABHD3"
"12","ABHD4"
"13","ABHD6"
"14","ABLIM1"
"15","ACER2"
"16","ACSL6"
"17","ACTR1A"
"18","ACTR3"
"19","ADAM17"
"20","ADAM21P1"
"21","ADAM21"
"22","ADAM23"
"23","ADAMTSL1"
"24","ADCK2"
"25","ADCY10"
"26","ADCY3"
"27","ADCY5"
"28","ADCY8"
"29","ADD2"
"30","ADD3"
"31","ADH7"
"32","AFP"
"33","AGPAT9"
"34","AHI1"
"35","AHSG"
"36","AIFM2"
"37","AIM1"
"38","AKIRIN2"
"39","AKR1B10"
"40","AKR1B15"
"41","AKR1B1"
"42","AKR1C1"
"43","AKR1C2"
"44","AKR1C3"
"45","AKR1C4"
"46","AKR1CL1"
"47","ALDH3A1"
"48","ALDH3A2"
"49","ANXA10"
"50","AP4M1"
"51","APAF1"
"52","APBA2"
"53","AQP10"
"54","AQP3"
"55","AQP6"
"56","ARFGAP2"
"57","ARHGAP28"
"58","ARHGEF9"
"59","ARID1B"
"60","ARL9"
"61","ARRDC4"
"62","ARSH"
"63","ART3"
"64","ARTN"
"65","ASF1A"
"66","ASPH"
"67","ASTN2"
"68","ATF3"
"69","ATF7IP2"
"70","ATP1B1"
"71","ATP2B1"
"72","ATP6V0A4"
"73","ATP7A"
"74","ATRNL1"
"75","B3GALT1"
"76","B4GALNT1"
"77","B4GALNT3"
"78","BACE2"
"79","BACH2"
"80","BAG2"
"81","BAMBI"
"82","BARX2"
"83","BCL2L15"
"84","BCL8"
"85","BDH2"
"86","BDNF"
"87","BLMH"
"88","BLNK"
"89","BMPR1B"
"90","BMX"
"91","BRS3"
"92","BTBD11"
"93","C10orf114"
"94","C10orf25"
"95","C10orf47"
"96","C10orf76"
"97","C10orf90"
"98","C11orf41"
"99","C11orf63"
"100","C11orf67"
"101","C11orf68"
"102","C11orf87"
"103","C11orf92"
"104","C12orf54"
"105","C12orf75"
"106","C12orf77"
"107","C13orf1"
"108","C13orf36"
"109","C14orf147"
"110","C14orf149"
"111","C14orf162"
"112","C14orf182"
"113","C15orf32"
"114","C15orf39"
"115","C15orf59"
"116","C16orf63"
"117","C17orf82"
"118","C18orf22"
"119","C19orf2"
"120","C1orf126"
"121","C1orf177"
"122","C1orf190"
"123","C1orf31"
"124","C1orf56"
"125","C1orf59"
"126","C20orf118"
"127","C21orf130"
"128","C21orf15"
"129","C21orf34"
"130","C21orf71"
"131","C21orf81"
"132","C21orf91"
"133","C2orf54"
"134","C4orf19"
"135","C4orf33"
"136","C4orf6"
"137","C5orf25"
"138","C6orf150"
"139","C6orf168"
"140","C6orf186"
"141","C6orf192"
"142","C7orf49"
"143","C8orf84"
"144","C9orf106"
"145","C9orf122"
"146","C9orf125"
"147","C9orf4"
"148","CA11"
"149","CA6"
"150","CA8"
"151","CA9"
"152","CABYR"
"153","CACNA1A"
"154","CACNA1B"
"155","CACNA1E"
"156","CACNA2D1"
"157","CACNA2D3"
"158","CACNG4"
"159","CALB2"
"160","CALML5"
"161","CAPN1"
"162","CARD11"
"163","CBR1"
"164","CBR3"
"165","CBX2"
"166","CCDC129"
"167","CCDC136"
"168","CCDC51"
"169","CCDC85A"
"170","CCL20"
"171","CCL26"
"172","CCL28"
"173","CCNA1"
"174","CCND1"
"175","CCNI2"
"176","CD177"
"177","CD24"
"178","CD47"
"179","CDC37L1"
"180","CDC40"
"181","CDC42EP2"
"182","CDC42EP4"
"183","CDH7"
"184","CDK18"
"185","CDK2AP2"
"186","CDK5RAP2"
"187","CDS2"
"188","CEACAM1"
"189","CECR7"
"190","CES1"
"191","CES4"
"192","CFHR1"
"193","CFL1"
"194","CHGA"
"195","CHODL"
"196","CHST1"
"197","CHST2"
"198","CHST7"
"199","CIDEB"
"200","CLCA3P"
"201","CLCA4"
"202","CLDN10"
"203","CLDN20"
"204","CLDN8"
"205","CLDN9"
"206","CLEC16A"
"207","CLEC2A"
"208","CLEC2B"
"209","CLIP4"
"210","CLUL1"
"211","CMTM2"
"212","CN5H6"
"213","CNKSR2"
"214","CNN2"
"215","CNOT4"
"216","CNTNAP2"
"217","COCH"
"218","COL21A1"
"219","COL9A2"
"220","COL9A3"
"221","COPZ2"
"222","CORO1C"
"223","COX6B2"
"224","CPEB1"
"225","CPLX2"
"226","CPNE1"
"227","CPPED1"
"228","CPT1A"
"229","CPXM2"
"230","CREB5"
"231","CREG1"
"232","CRMP1"
"233","CROT"
"234","CRYGB"
"235","CUL1"
"236","CXCL1"
"237","CXCL6"
"238","CXCR7"
"239","CXorf49B"
"240","CYP24A1"
"241","CYP26A1"
"242","CYP2E1"
"243","CYP4A11"
"244","CYP4F11"
"245","CYP4F3"
"246","CYP4X1"
"247","CYP4Z1"
"248","DAG1"
"249","DCC"
"250","DCLK1"
"251","DECR1"
"252","DEFB131"
"253","DEPDC6"
"254","DGAT2"
"255","DGKG"
"256","DHDPSL"
"257","DIAPH2"
"258","DIP2B"
"259","DIRAS2"
"260","DLG5"
"261","DLX3"
"262","DLX5"
"263","DLX6AS"
"264","DLX6"
"265","DMD"
"266","DMRT2"
"267","DNAJB3"
"268","DNAJB4"
"269","DNAJC4"
"270","DNAJC6"
"271","DOK6"
"272","DPP10"
"273","DPY19L1"
"274","DPYSL4"
"275","DRD3"
"276","DTX2"
"277","DTX4"
"278","DUSP14"
"279","DYTN"
"280","DZIP1L"
"281","EDARADD"
"282","EDN1"
"283","EDN2"
"284","EEPD1"
"285","EFHD2"
"286","EFR3B"
"287","EGF"
"288","EHF"
"289","EID3"
"290","EIF1B"
"291","EML1"
"292","EN1"
"293","ENTPD3"
"294","EPB41L4B"
"295","EPB49"
"296","EPCAM"
"297","EPHA2"
"298","EPHB4"
"299","EPHB6"
"300","EPHX1"
"301","EPHX3"
"302","EPS8"
"303","EPT1"
"304","ERMP1"
"305","ETFB"
"306","ETS2"
"307","ETV4"
"308","ETV5"
"309","EXOSC7"
"310","F2RL2"
"311","F3"
"312","FADS1"
"313","FADS2"
"314","FAH"
"315","FAM110B"
"316","FAM124A"
"317","FAM149A"
"318","FAM150A"
"319","FAM169A"
"320","FAM170A"
"321","FAM171B"
"322","FAM178B"
"323","FAM190A"
"324","FAM19A3"
"325","FAM20B"
"326","FAM22A"
"327","FAM27C"
"328","FAM46A"
"329","FAM55C"
"330","FAM69A"
"331","FAM69B"
"332","FAM70A"
"333","FAM71E2"
"334","FAM7A2"
"335","FAM82B"
"336","FAM89A"
"337","FAM89B"
"338","FBN2"
"339","FBXO16"
"340","FBXO30"
"341","FBXO36"
"342","FECH"
"343","FETUB"
"344","FFAR2"
"345","FGF8"
"346","FGFBP2"
"347","FKBP1A"
"348","FLJ25758"
"349","FLJ35776"
"350","FLJ45983"
"351","FLOT2"
"352","FNBP1L"
"353","FOLH1"
"354","FOXE1"
"355","FOXE3"
"356","FOXI3"
"357","FOXP4"
"358","FOXQ1"
"359","FREM2"
"360","FRMD4B"
"361","FRMD8"
"362","FRYL"
"363","FTH1"
"364","FTHL3"
"365","FUT9"
"366","FZD10"
"367","FZD7"
"368","G6PC3"
"369","G6PD"
"370","GAA"
"371","GAB1"
"372","GABARAPL1"
"373","GABRA2"
"374","GABRA5"
"375","GABRG2"
"376","GADL1"
"377","GALE"
"378","GALNT13"
"379","GALNT5"
"380","GAST"
"381","GATSL2"
"382","GATS"
"383","GCC1"
"384","GCLC"
"385","GCLM"
"386","GCNT2"
"387","GDA"
"388","GEFT"
"389","GJB4"
"390","GJC3"
"391","GLA"
"392","GLCE"
"393","GLI1"
"394","GLI2"
"395","GLT25D2"
"396","GNAL"
"397","GPC5"
"398","GPHA2"
"399","GPHB5"
"400","GPI"
"401","GPR109B"
"402","GPR126"
"403","GPR158"
"404","GPR173"
"405","GPR37"
"406","GPR39"
"407","GPR50"
"408","GPX2"
"409","GRAMD3"
"410","GREB1"
"411","GRM1"
"412","GRM3"
"413","GRM4"
"414","GSG1"
"415","GSPT2"
"416","GSR"
"417","GSTM1"
"418","GSTM2P1"
"419","GSTM2"
"420","GSTM3"
"421","GSTM4"
"422","GSTTP1"
"423","GUCY2E"
"424","GULP1"
"425","H19"
"426","H2BFXP"
"427","H3F3C"
"428","HAP1"
"429","HBEGF"
"430","HDAC4"
"431","HEY1"
"432","HFM1"
"433","HHEX"
"434","HHIPL2"
"435","HIVEP1"
"436","HK1"
"437","HMGN5"
"438","HOXC8"
"439","HPD"
"440","HRASLS2"
"441","HRCT1"
"442","HRG"
"443","HS3ST1"
"444","HS3ST5"
"445","HS6ST2"
"446","HSPA2"
"447","HTATIP2"
"448","IDH1"
"449","IER3"
"450","IFT27"
"451","IGFBP3"
"452","IGFL4"
"453","IL12RB2"
"454","IL17D"
"455","IL1F7"
"456","IL1RAPL2"
"457","IL31RA"
"458","INSIG1"
"459","IPW"
"460","IQCF3"
"461","IRS2"
"462","IRX3"
"463","ISL1"
"464","ITLN2"
"465","ITPKB"
"466","JAKMIP2"
"467","JAKMIP3"
"468","KAT5"
"469","KBTBD10"
"470","KBTBD12"
"471","KCNA4"
"472","KCNH8"
"473","KCNK1"
"474","KCNU1"
"475","KCNV1"
"476","KEAP1"
"477","KHDC1L"
"478","KIAA0232"
"479","KIAA0319"
"480","KIAA0430"
"481","KIAA1045"
"482","KIAA1549"
"483","KIAA1598"
"484","KIAA1804"
"485","KIF13A"
"486","KLHDC5"
"487","KLHL29"
"488","KRT81"
"489","L3MBTL4"
"490","LAMB4"
"491","LCE1F"
"492","LEF1"
"493","LIMD1"
"494","LIMK1"
"495","LIN7A"
"496","LIPJ"
"497","LMBR1"
"498","LOC100130238"
"499","LOC100131496"
"500","LOC147727"
"501","LOC148696"
"502","LOC151162"
"503","LOC152225"
"504","LOC200726"
"505","LOC202781"
"506","LOC220930"
"507","LOC283392"
"508","LOC285419"
"509","LOC285501"
"510","LOC285768"
"511","LOC338758"
"512","LOC339535"
"513","LOC643923"
"514","LOC646214"
"515","LOC728855"
"516","LOC728875"
"517","LOC92249"
"518","LPAR1"
"519","LPAR6"
"520","LPIN1"
"521","LPPR1"
"522","LRP12"
"523","LRP1B"
"524","LRP8"
"525","LRRC27"
"526","LRRC37A3"
"527","LRRC4"
"528","LRRC61"
"529","LRRTM1"
"530","LRRTM2"
"531","LUZP6"
"532","LY6D"
"533","LY6K"
"534","MACC1"
"535","MAFG"
"536","MAGI2"
"537","MAP1A"
"538","MAP1B"
"539","MAP2"
"540","MAP3K11"
"541","MAP3K4"
"542","MAPRE3"
"543","MARCKSL1"
"544","MATN2"
"545","MBTPS2"
"546","MCTP2"
"547","MDGA1"
"548","ME1"
"549","MEG8"
"550","MEGF10"
"551","MEGF9"
"552","MEIS1"
"553","MERTK"
"554","MFAP3L"
"555","MFSD6"
"556","MGC15885"
"557","MIAT"
"558","MIB1"
"559","MOBKL2C"
"560","MOBP"
"561","MOSC1"
"562","MOV10L1"
"563","MPP3"
"564","MRAP2"
"565","MRPS6"
"566","MSC"
"567","MST1R"
"568","MT1G"
"569","MTERFD2"
"570","MXRA7"
"571","MYH11"
"572","MYH14"
"573","MYL6B"
"574","MYL6"
"575","MYO5A"
"576","NAA20"
"577","NAMPT"
"578","NAP1L2"
"579","NAP1L5"
"580","NAV1"
"581","NBPF22P"
"582","NBPF4"
"583","NBPF6"
"584","NCK2"
"585","NCKAP5"
"586","NCOA3"
"587","NCRNA00086"
"588","NCRNA00092"
"589","NCRNA00160"
"590","NDRG4"
"591","NECAB2"
"592","NEDD4L"
"593","NEFL"
"594","NEFM"
"595","NEK1"
"596","NELL1"
"597","NHEDC2"
"598","NINJ2"
"599","NKAIN2"
"600","NLGN4X"
"601","NLRP11"
"602","NOS1"
"603","NOTCH2NL"
"604","NOTCH3"
"605","NPC1"
"606","NPR2"
"607","NPY2R"
"608","NQO1"
"609","NR0B1"
"610","NRBP1"
"611","NRCAM"
"612","NRK"
"613","NRSN2"
"614","NRXN2"
"615","NSUN3"
"616","NT5C2"
"617","NTRK2"
"618","NUDT4"
"619","NUMBL"
"620","NUP210"
"621","OBFC1"
"622","ODC1"
"623","OLFM1"
"624","OR10G7"
"625","OR2A9P"
"626","OR7A5"
"627","OR7C1"
"628","OR7C2"
"629","ORAI3"
"630","OSBPL1A"
"631","OSGIN1"
"632","OSGIN2"
"633","OVCH1"
"634","OVCH2"
"635","PAK7"
"636","PANX2"
"637","PAPL"
"638","PCBP3"
"639","PCDH7"
"640","PCTP"
"641","PCYT1B"
"642","PDE7A"
"643","PDZD2"
"644","PELI2"
"645","PER3"
"646","PFN2"
"647","PGBD5"
"648","PGD"
"649","PHC2"
"650","PHEX"
"651","PHF21A"
"652","PIK3R3"
"653","PION"
"654","PIR"
"655","PKD1L2"
"656","PKHD1"
"657","PKN1"
"658","PLA2G16"
"659","PLA2R1"
"660","PLBD1"
"661","PLCB4"
"662","PLCD1"
"663","PLEKHG1"
"664","PNMA5"
"665","PNMAL2"
"666","POLR2K"
"667","POM121C"
"668","POM121"
"669","PON1"
"670","POPDC3"
"671","PPIF"
"672","PPIL4"
"673","PPP1CA"
"674","PPP1R14C"
"675","PPP1R3B"
"676","PPP2R2B"
"677","PPP2R2C"
"678","PPP2R5A"
"679","PPP4R1L"
"680","PPP4R1"
"681","PQLC1"
"682","PRDM14"
"683","PRDM16"
"684","PRDM8"
"685","PRDM9"
"686","PRDX1"
"687","PRDX6"
"688","PRKAA2"
"689","PRKX"
"690","PRSS35"
"691","PTCH1"
"692","PTCHD1"
"693","PTDSS1"
"694","PTGR1"
"695","PTGS2"
"696","PTMA"
"697","PTPRD"
"698","PURG"
"699","PVALB"
"700","PYCR2"
"701","PYGO1"
"702","QARS"
"703","RAB15"
"704","RAB18"
"705","RAB1B"
"706","RAB3B"
"707","RAB6B"
"708","RALB"
"709","RAP1GAP"
"710","RASL10B"
"711","RASL11A"
"712","RASSF6"
"713","RBM11"
"714","RBM19"
"715","RBM24"
"716","RBP7"
"717","RCAN1"
"718","RCBTB2"
"719","RDH16"
"720","REEP1"
"721","REN"
"722","RFFL"
"723","RFPL1S"
"724","RFPL1"
"725","RFX4"
"726","RGS6"
"727","RGS9"
"728","RHOQ"
"729","RIT1"
"730","RLN3"
"731","RND2"
"732","RNF135"
"733","RNF144B"
"734","RNF157"
"735","RNF186"
"736","RNF19A"
"737","RNF212"
"738","RNF217"
"739","ROBO1"
"740","ROBO2"
"741","RORA"
"742","RPS12"
"743","RPS6KA6"
"744","RPS6KB2"
"745","RPS6KC1"
"746","RTBDN"
"747","RTL1"
"748","RTN4RL1"
"749","S100A14"
"750","S100P"
"751","SALL1"
"752","SAMD12"
"753","SAMD5"
"754","SARM1"
"755","SCAMP1"
"756","SCARA3"
"757","SCARNA20"
"758","SCG2"
"759","SCIN"
"760","SCN3A"
"761","SCN4A"
"762","SCN5A"
"763","SCN9A"
"764","SCPEP1"
"765","SCRT2"
"766","SDC4"
"767","SDK1"
"768","SDK2"
"769","SEC14L4"
"770","SEMA6D"
"771","SERP2"
"772","SERPINB10"
"773","SERTAD2"
"774","SFXN1"
"775","SGEF"
"776","SH3BGRL2"
"777","SH3BP2"
"778","SH3YL1"
"779","SHH"
"780","SHISA2"
"781","SHISA9"
"782","SIPA1L2"
"783","SLC12A8"
"784","SLC14A2"
"785","SLC1A4"
"786","SLC1A6"
"787","SLC26A10"
"788","SLC26A7"
"789","SLC26A8"
"790","SLC28A3"
"791","SLC2A12"
"792","SLC35F3"
"793","SLC35F5"
"794","SLC38A11"
"795","SLC38A4"
"796","SLC3A2"
"797","SLC46A1"
"798","SLC47A1"
"799","SLC47A2"
"800","SLC48A1"
"801","SLC5A5"
"802","SLC6A3"
"803","SLC6A6"
"804","SLC7A11"
"805","SLC7A5"
"806","SLC7A8"
"807","SLC9A7"
"808","SLCO3A1"
"809","SLK"
"810","SMOC1"
"811","SMOC2"
"812","SMO"
"813","SMPX"
"814","SMS"
"815","SNORD116"
"816","SNX15"
"817","SOCS2"
"818","SOD1"
"819","SORCS1"
"820","SOST"
"821","SOX2OT"
"822","SOX2"
"823","SOX4"
"824","SOX5"
"825","SP140L"
"826","SPAG1"
"827","SPAST"
"828","SPATA7"
"829","SPG20"
"830","SPIN2B"
"831","SPIN4"
"832","SPOCK3"
"833","SPP1"
"834","SPR"
"835","SQSTM1"
"836","SRMS"
"837","SRXN1"
"838","SSBP3"
"839","SSH2"
"840","SSTR4"
"841","ST3GAL1"
"842","ST3GAL3"
"843","ST5"
"844","ST8SIA2"
"845","STARD7"
"846","STC2"
"847","STIM1"
"848","STK32B"
"849","STL"
"850","STRBP"
"851","STXBP5L"
"852","SUFU"
"853","SULT1A1"
"854","SULT1E1"
"855","SUMO1P1"
"856","SUV420H1"
"857","SYN3"
"858","SYNJ1"
"859","SYT9"
"860","TACR1"
"861","TALDO1"
"862","TBK1"
"863","TBX15"
"864","TC2N"
"865","TCF7L1"
"866","TCF7L2"
"867","TDP2"
"868","TFF2"
"869","TGIF2LX"
"870","THEMIS"
"871","THSD7A"
"872","TIAM1"
"873","TIMP4"
"874","TINAG"
"875","TKT"
"876","TLK1"
"877","TLR5"
"878","TLX1"
"879","TM4SF1"
"880","TMEM116"
"881","TMEM117"
"882","TMEM155"
"883","TMEM158"
"884","TMEM17"
"885","TMEM195"
"886","TMEM206"
"887","TMEM20"
"888","TMEM57"
"889","TMEM84"
"890","TMOD1"
"891","TMSB15A"
"892","TMTC1"
"893","TMTC2"
"894","TMTC3"
"895","TNFRSF21"
"896","TNNI2"
"897","TNNI3K"
"898","TNPO1"
"899","TOR3A"
"900","TP53AIP1"
"901","TP53I11"
"902","TPD52L1"
"903","TREML3"
"904","TREML4"
"905","TRERF1"
"906","TRIB2"
"907","TRIB3"
"908","TRIM10"
"909","TRIM15"
"910","TRIM16L"
"911","TRIM16"
"912","TRIM31"
"913","TRIM43"
"914","TRIM68"
"915","TRIM8"
"916","TRIP10"
"917","TRPC4"
"918","TRPM3"
"919","TSKU"
"920","TSPAN18"
"921","TSPAN33"
"922","TSPAN7"
"923","TTBK2"
"924","TTC22"
"925","TTC39B"
"926","TTLL2"
"927","TTLL7"
"928","TTTY7"
"929","TUBB4"
"930","TUB"
"931","TUFT1"
"932","TXNRD1"
"933","TXN"
"934","UBE2H"
"935","UCHL1"
"936","UGDH"
"937","UGT1A1"
"938","UGT1A3"
"939","UGT1A5"
"940","UGT1A6"
"941","UGT1A7"
"942","UGT1A9"
"943","UIMC1"
"944","UPF0639"
"945","USP40"
"946","UST"
"947","UXS1"
"948","VAV3"
"949","VKORC1L1"
"950","VLDLR"
"951","VPS37C"
"952","VSIG10L"
"953","VSIG10"
"954","VWA2"
"955","VWA5B2"
"956","VWDE"
"957","WASF1"
"958","WFDC10A"
"959","WIPF3"
"960","WISP3"
"961","WNT10A"
"962","WNT10B"
"963","WNT11"
"964","WNT3"
"965","WNT4"
"966","WNT5A"
"967","WWTR1"
"968","YWHAG"
"969","ZBTB38"
"970","ZC3HAV1L"
"971","ZDBF2"
"972","ZDHHC15"
"973","ZDHHC18"
"974","ZDHHC1"
"975","ZDHHC21"
"976","ZDHHC2"
"977","ZDHHC3"
"978","ZDHHC9"
"979","ZFAND2B"
"980","ZFP36L2"
"981","ZFX"
"982","ZG16B"
"983","ZHX2"
"984","ZNF167"
"985","ZNF204P"
"986","ZNF254"
"987","ZNF280C"
"988","ZNF33A"
"989","ZNF439"
"990","ZNF491"
"991","ZNF605"
"992","ZNF662"
"993","ZNF732"
"994","ZNF737"
"995","ZNF746"
"996","ZNF788"
"997","ZNF853"
"998","ZNF876P"
"999","ZNF91"
"1000","ZRANB1"
"1001","ZSCAN12P1"
"1002","tAKR"
