"","x"
"1","ATCAY"
"2","C13orf28"
"3","C14orf115"
"4","C7orf52"
"5","CACNG7"
"6","CHD5"
"7","CLDN6"
"8","DCD"
"9","DMRTC2"
"10","DPPA3"
"11","DPPA4"
"12","FAM57B"
"13","FAM9C"
"14","FGF10"
"15","GALNTL1"
"16","GCG"
"17","GCM2"
"18","HCN1"
"19","HES7"
"20","HIST1H2BA"
"21","HOXC12"
"22","INSM2"
"23","KCNB1"
"24","KCNQ2"
"25","LDHAL6A"
"26","LOC100130148"
"27","LOC441601"
"28","LUZP4"
"29","MSX2P1"
"30","NCRNA00200"
"31","NLRP5"
"32","PASD1"
"33","PRKCG"
"34","PTH2"
"35","RHOXF2B"
"36","SHOX"
"37","SLC32A1"
"38","SPATA22"
"39","TACR3"
"40","VGF"
"41","ZIM2"
"42","ZSCAN10"
