"","x"
"1","AGXT2L1"
"2","ANKRD33"
"3","ARX"
"4","ASCL3"
"5","ATP6V1G3"
"6","ATP7B"
"7","BSND"
"8","C19orf45"
"9","C1orf180"
"10","C1orf61"
"11","C6orf126"
"12","C6orf127"
"13","C9orf70"
"14","CEACAM22P"
"15","CLPS"
"16","CRH"
"17","CYP4F8"
"18","DAO"
"19","EDDM3A"
"20","EPO"
"21","FAM123A"
"22","FAM47C"
"23","FBXW12"
"24","FFAR1"
"25","FOXI1"
"26","FOXI2"
"27","FRMD7"
"28","FXYD4"
"29","GFI1B"
"30","GUCA2A"
"31","HEPACAM2"
"32","HTR3E"
"33","KCNJ13"
"34","KIAA1210"
"35","KRTAP5"
"36","LHCGR"
"37","LHFPL5"
"38","LMOD3"
"39","LOC100144604"
"40","LOC284379"
"41","MAG"
"42","MOGAT1"
"43","MRGPRE"
"44","MSH4"
"45","MUC6"
"46","NCRNA00052"
"47","NRN1L"
"48","OR3A3"
"49","PATE3"
"50","PNMT"
"51","POM121L2"
"52","PRHOXNB"
"53","PRKAG3"
"54","PRLHR"
"55","PRLH"
"56","PROKR2"
"57","PSG9"
"58","PWRN1"
"59","RHBG"
"60","SBK2"
"61","SLC12A1"
"62","SLC12A3"
"63","SLC28A1"
"64","SLC30A2"
"65","SLC6A20"
"66","SNORA77"
"67","ST8SIA5"
"68","STAC2"
"69","THRSP"
"70","TMEM213"
"71","TRPM5"
"72","VWA5B1"
"73","ZPBP2"
