"","x"
"1","ABCA10"
"2","ABCC13"
"3","ACCN1"
"4","ADAM18"
"5","ADAM2"
"6","ADAM3A"
"7","C1orf95"
"8","C20orf186"
"9","C21orf131"
"10","CAPZA3"
"11","CBLN1"
"12","CDH10"
"13","CNOT2"
"14","CYP3A4"
"15","CYP3A7"
"16","EVX1"
"17","FRS2"
"18","GAB4"
"19","GLYATL1"
"20","GNAT3"
"21","HAL"
"22","HPSE2"
"23","HSD3B1"
"24","KCNH4"
"25","KIAA1239"
"26","MARCH11"
"27","MRGPRX3"
"28","MRGPRX4"
"29","NOX1"
"30","NRAP"
"31","OR10H3"
"32","OR10H5"
"33","PROK1"
"34","RERGL"
"35","SLC10A4"
"36","SLC7A3"
"37","SULT2A1"
"38","SV2C"
"39","TRIM63"
"40","TTC23L"
"41","TTTY3B"
"42","UNC13C"
"43","VSX1"
"44","WFDC13"
"45","XKR3"
"46","ZAR1"
