"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"AGER.177","clinical_data_days_to_death",-0.257903520422026,1.0263806885121e-07,0.825821601908252,56.243611686655,"greenyellow",0.00393963511848062,0.12379380476501
"CAPN8.388743","clinical_data_days_to_death",-0.204460275056774,2.76581328483169e-05,0.812704208973074,53.313552578828,"greenyellow",0.00393963511848062,0.12379380476501
"FGG.2266","clinical_data_days_to_death",-0.214447969139997,1.07510964059451e-05,0.841184199617334,58.2236064741471,"greenyellow",0.00393963511848062,0.12379380476501
"GPR116.221395","clinical_data_days_to_death",-0.201723485446592,3.5551641955338e-05,0.883888428298166,66.5521323944285,"greenyellow",0.00393963511848062,0.12379380476501
"NKX2.1.7080","clinical_data_days_to_death",-0.217784619268658,7.76184697609923e-06,0.873099675139428,65.7284042040371,"greenyellow",0.00393963511848062,0.12379380476501
"SERPINA1.5265","clinical_data_days_to_death",-0.213657549723162,1.160501919031e-05,0.823995403244298,55.4048678329848,"greenyellow",0.00393963511848062,0.12379380476501
"SFTA2.389376","clinical_data_days_to_death",-0.200823971529187,3.85815121147551e-05,0.881780711534114,68.0891420720999,"greenyellow",0.00393963511848062,0.12379380476501
"SFTPD.6441","clinical_data_days_to_death",-0.21355328523471,1.17223621682006e-05,0.877571559254313,68.0643478551771,"greenyellow",0.00393963511848062,0.12379380476501
"SLC46A2.57864","clinical_data_days_to_death",-0.238502142227485,9.14722284836349e-07,0.813230155074057,52.8277291327579,"greenyellow",0.00393963511848062,0.12379380476501
"CDY1.9085","clinical_data_days_to_death",0.21605107309585,9.19921727733742e-06,0.983188236876221,13.2320854092957,"brown4",0.0179463622205199,0.143799621343499
"DEFB105A.245908","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"DEFB130.245940","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"KRTAP13.3.337960","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"LGALS13.29124","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"NPS.594857","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"OR8I2.120586","clinical_data_days_to_death",0.217530793778477,7.95804125101114e-06,0.966945859566677,12.4256394691677,"brown4",0.0179463622205199,0.143799621343499
"OR8J3.81168","clinical_data_days_to_death",0.217605266071148,7.8999936172042e-06,0.967928220662019,12.4702397855145,"brown4",0.0179463622205199,0.143799621343499
"PISRT1.140464","clinical_data_days_to_death",0.216406728263727,8.88508779806484e-06,0.956865394423816,11.9809183592099,"brown4",0.0179463622205199,0.143799621343499
"PLA2G2E.30814","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"SNORA32.692063","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"TTTY23.252955","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"TTTY8.84673","clinical_data_days_to_death",0.204872264314311,2.66245524170857e-05,0.975839897033441,13.1102206587962,"brown4",0.0179463622205199,0.143799621343499
"CCDC138.165055","clinical_data_days_to_death",0.201465349488186,3.6397276565218e-05,0.808878997584968,85.5997851964152,"green",0.00284278399480009,0.118307777694602
"EIF2S1.1965","clinical_data_days_to_death",0.227143350260534,3.02852377353385e-06,0.825638946432509,24.6239348307368,"grey60",0.00931777313089865,0.122815223322648
"MED6.10001","clinical_data_days_to_death",0.207434327600235,2.09737348660755e-05,0.812063665735677,23.2233056937302,"grey60",0.00931777313089865,0.122815223322648
"NAA30.122830","clinical_data_days_to_death",0.245082582350757,4.44550473468688e-07,0.82099621787215,24.1526759416431,"grey60",0.00931777313089865,0.122815223322648
"TRMT5.57570","clinical_data_days_to_death",0.262877622403747,5.68741448312314e-08,0.808686494157338,23.3455309685591,"grey60",0.00931777313089865,0.122815223322648
"X..155060","clinical_data_karnofsky_performance_score",0.205253666846797,2.57004201594772e-05,0.819452284186989,101.264743901617,"yellow",0.00360083382941031,0.143514174130964
"AGAP4.119016","clinical_data_karnofsky_performance_score",0.281313395723021,5.72450646504018e-09,0.850294987040757,114.046482261218,"yellow",0.00360083382941031,0.143514174130964
"AGAP6.414189","clinical_data_karnofsky_performance_score",0.247627417859775,3.34436965147456e-07,0.848633579309648,113.743810163195,"yellow",0.00360083382941031,0.143514174130964
"AHSA2.130872","clinical_data_karnofsky_performance_score",0.254376510312466,1.54848121558266e-07,0.821220199222444,106.802621153814,"yellow",0.00360083382941031,0.143514174130964
"C1orf104.284618","clinical_data_karnofsky_performance_score",0.2668687103374,3.51025101438208e-08,0.815023998088317,103.838241335799,"yellow",0.00360083382941031,0.143514174130964
"CCNL2.81669","clinical_data_karnofsky_performance_score",0.270985754051918,2.11603953150013e-08,0.813436698706524,108.104980230762,"yellow",0.00360083382941031,0.143514174130964
"CHKB.CPT1B.386593","clinical_data_karnofsky_performance_score",0.272193675065144,1.82108014600985e-08,0.830256808662525,110.691059767621,"yellow",0.00360083382941031,0.143514174130964
"CSAD.51380","clinical_data_karnofsky_performance_score",0.257644692088981,1.05804688080495e-07,0.823697531184412,105.323072138867,"yellow",0.00360083382941031,0.143514174130964
"ENGASE.64772","clinical_data_karnofsky_performance_score",0.323585713042002,1.51511778234941e-11,0.808375033219627,97.9927764323577,"yellow",0.00360083382941031,0.143514174130964
"FLJ45340.402483","clinical_data_karnofsky_performance_score",0.343174032780599,6.93739677313703e-13,0.803809101579372,97.3778835541317,"yellow",0.00360083382941031,0.143514174130964
"GIGYF1.64599","clinical_data_karnofsky_performance_score",0.226237205691267,3.32335861319238e-06,0.823389443831783,103.053119730539,"yellow",0.00360083382941031,0.143514174130964
"GOLGA8A.23015","clinical_data_karnofsky_performance_score",0.300013722520233,4.66419123869683e-10,0.827895738476889,108.925326140836,"yellow",0.00360083382941031,0.143514174130964
"HSF4.3299","clinical_data_karnofsky_performance_score",0.224792018853384,3.85106541723634e-06,0.815333739691698,104.20634325883,"yellow",0.00360083382941031,0.143514174130964
"LOC100131434.100131434","clinical_data_karnofsky_performance_score",0.291280516033454,1.53893005786012e-09,0.804322248112328,99.6096675465467,"yellow",0.00360083382941031,0.143514174130964
"LOC150776.150776","clinical_data_karnofsky_performance_score",0.271654485055419,1.94746680334685e-08,0.833300140932353,105.496129630213,"yellow",0.00360083382941031,0.143514174130964
"LOC91316.91316","clinical_data_karnofsky_performance_score",0.271178319784997,2.06610264485236e-08,0.833440233063802,109.615812020714,"yellow",0.00360083382941031,0.143514174130964
"NCRNA00105.80161","clinical_data_karnofsky_performance_score",0.266968478717426,3.46780783895528e-08,0.800441399775114,97.1064656586876,"yellow",0.00360083382941031,0.143514174130964
"NKTR.4820","clinical_data_karnofsky_performance_score",0.380787124880178,9.83346818444978e-16,0.842376122645983,117.574544279122,"yellow",0.00360083382941031,0.143514174130964
"PABPC1L.80336","clinical_data_karnofsky_performance_score",0.215750911076935,9.47253210009919e-06,0.832812579131109,108.658528986272,"yellow",0.00360083382941031,0.143514174130964
"PILRB.29990","clinical_data_karnofsky_performance_score",0.21998148212628,6.24593954143982e-06,0.864741083255107,120.266654765752,"yellow",0.00360083382941031,0.143514174130964
"WDR27.253769","clinical_data_karnofsky_performance_score",0.284775424296191,3.64841519858492e-09,0.810613686389185,99.2233935264605,"yellow",0.00360083382941031,0.143514174130964
"WDR90.197335","clinical_data_karnofsky_performance_score",0.209643620962689,1.7033405918897e-05,0.812601092803283,99.6843786671219,"yellow",0.00360083382941031,0.143514174130964
"ZNF692.55657","clinical_data_karnofsky_performance_score",0.254562047840436,1.51557279185389e-07,0.840495482591017,110.423158787808,"yellow",0.00360083382941031,0.143514174130964
"ZNF767.79970","clinical_data_karnofsky_performance_score",0.291637478457101,1.46679676448961e-09,0.854401311594741,116.683135214836,"yellow",0.00360083382941031,0.143514174130964
"EXOC5.10640","clinical_data_pathology_T_stage",0.218738845162342,7.06470891831949e-06,0.82653789688345,24.9443135599685,"grey60",0.00931777313089865,0.131116458146174
"AQP1.358","clinical_data_year_of_tobacco_smoking_onset",-0.214693999998914,1.04977345051199e-05,0.861845128360171,62.4856021883687,"greenyellow",0.00393963511848062,0.120834307923502
"AQP4.361","clinical_data_year_of_tobacco_smoking_onset",-0.214460078388044,1.07384913993528e-05,0.913057179616298,75.1290932983525,"greenyellow",0.00393963511848062,0.120834307923502
"ATOH8.84913","clinical_data_year_of_tobacco_smoking_onset",-0.202298288406946,3.37349291135745e-05,0.85725988695618,59.7770375627689,"greenyellow",0.00393963511848062,0.120834307923502
"C4orf31.79625","clinical_data_year_of_tobacco_smoking_onset",-0.242367771108903,6.00196278053665e-07,0.895883367987725,69.5177254003055,"greenyellow",0.00393963511848062,0.120834307923502
"CTSE.1510","clinical_data_year_of_tobacco_smoking_onset",-0.203159014493193,3.11780129532271e-05,0.822442685855496,57.5326532038052,"greenyellow",0.00393963511848062,0.120834307923502
"DMBT1.1755","clinical_data_year_of_tobacco_smoking_onset",-0.212744670816149,1.26714872588517e-05,0.831746281633667,57.2417330674599,"greenyellow",0.00393963511848062,0.120834307923502
"GKN2.200504","clinical_data_year_of_tobacco_smoking_onset",-0.229443655803034,2.3881527213512e-06,0.863855124927647,62.7789053705183,"greenyellow",0.00393963511848062,0.120834307923502
"ROS1.6098","clinical_data_year_of_tobacco_smoking_onset",-0.21173393550975,1.39607892591535e-05,0.802652237739669,51.6320418984447,"greenyellow",0.00393963511848062,0.120834307923502
"AOC3.8639","clinical_data_year_of_tobacco_smoking_onset",-0.206328631901117,2.32566014983925e-05,-0.804416308506002,59.8923919346051,"brown",0.00658302210964596,0.0846485346968048
"TGFBR2.7048","clinical_data_year_of_tobacco_smoking_onset",-0.243664258740243,5.20264439598726e-07,-0.848117245873432,65.6852263859188,"brown",0.00658302210964596,0.0846485346968048
"ANAPC2.29882","clinical_data_year_of_tobacco_smoking_onset",0.233506125387511,1.56037829365216e-06,0.828125311561584,18.1499223228738,"lightgreen",0.0144437036032197,0.130972759437602
"C9orf86.55684","clinical_data_year_of_tobacco_smoking_onset",0.209256887556134,1.76681317291944e-05,0.819875816496119,17.5570075601933,"lightgreen",0.0144437036032197,0.130972759437602
"INPP5E.56623","clinical_data_year_of_tobacco_smoking_onset",0.247540461272676,3.37722717318637e-07,0.820786867389112,17.2811231699068,"lightgreen",0.0144437036032197,0.130972759437602
"SSNA1.8636","clinical_data_year_of_tobacco_smoking_onset",0.212181556434988,1.33751294674516e-05,0.808764369646549,17.7319512804291,"lightgreen",0.0144437036032197,0.130972759437602
"SURF6.6838","clinical_data_year_of_tobacco_smoking_onset",0.201557178544204,3.60942939830151e-05,0.807331159348475,16.918918775243,"lightgreen",0.0144437036032197,0.130972759437602
"ZMYND19.116225","clinical_data_year_of_tobacco_smoking_onset",0.24191209690405,6.30994581923382e-07,0.822381628814664,18.6888459365553,"lightgreen",0.0144437036032197,0.130972759437602
"AHSA2.130872","clinical_data_year_of_tobacco_smoking_onset",0.217607272607915,7.89843521009026e-06,0.821220199222444,106.802621153814,"yellow",0.00360083382941031,0.112389501787793
"C1orf104.284618","clinical_data_year_of_tobacco_smoking_onset",0.202440844068247,3.32981630278326e-05,0.815023998088317,103.838241335799,"yellow",0.00360083382941031,0.112389501787793
"ENGASE.64772","clinical_data_year_of_tobacco_smoking_onset",0.245597073677809,4.1979827072267e-07,0.808375033219627,97.9927764323577,"yellow",0.00360083382941031,0.112389501787793
"GIGYF1.64599","clinical_data_year_of_tobacco_smoking_onset",0.213189177644413,1.21410548043351e-05,0.823389443831783,103.053119730539,"yellow",0.00360083382941031,0.112389501787793
"WDR90.197335","clinical_data_year_of_tobacco_smoking_onset",0.2028732435072,3.200586957907e-05,0.812601092803283,99.6843786671219,"yellow",0.00360083382941031,0.112389501787793
