"module","size","Heterogeneity","ZScore"
"antiquewhite4",45,0.99515798706288,1.34388898769644
"bisque4",64,1.05160860072139,-0.260408728422004
"black",1310,0.617531563776306,37.0656395813849
"blue",2717,0.729870769843947,28.9742485828595
"brown",1928,0.721262746823471,33.9083085537761
"brown4",65,0.995250227550581,1.49646418052472
"coral1",45,1.21439978468681,1.25427619947391
"coral2",43,1.14235440090878,0.725903308592451
"cyan",536,0.583790603138217,31.9828779328214
"darkgreen",701,0.92413577063086,54.5715943238374
"darkgrey",337,0.939457424520655,1.40816381049455
"darkmagenta",100,1.32293271089899,2.86138600884124
"darkolivegreen",108,1.0008901784883,2.15926751539573
"darkorange",165,1.12378325458054,12.1676079668799
"darkseagreen4",46,1.13996132809943,1.95763841251666
"darkslateblue",59,0.750536381402842,0.135578354551983
"darkturquoise",974,0.954811373427418,46.2486979543459
"floralwhite",66,0.949263877973163,2.99045918026077
"green",911,0.54575420764559,16.1555327001736
"greenyellow",570,0.65864874200641,41.0035062382314
"honeydew1",47,0.949665681169918,0.604008470218418
"ivory",68,0.996917378500083,0.287087903252535
"lavenderblush3",48,0.899401979662334,3.56957831786251
"lightcoral",33,0.952055815746694,0.972161108343382
"lightcyan",486,0.534724284848989,9.17180596890972
"lightcyan1",70,0.763677884542329,39.7676860892248
"lightgreen",388,1.04806515667577,35.5596159046638
"lightpink4",50,0.955588558886323,0.436532237856624
"lightsteelblue",34,1.05384845669055,0.0907963686102761
"lightsteelblue1",73,1.03242367682052,1.43760675550555
"lightyellow",367,0.448057159110866,22.8743616880473
"maroon",51,1.04724542094638,1.33063398373541
"mediumorchid",43,1.04557085473848,1.92075534473602
"mediumpurple2",35,1.17816094947907,-0.166861955805824
"mediumpurple3",75,1.13003450492418,1.78851990903335
"midnightblue",501,0.893141265838936,28.901623402666
"navajowhite2",51,1.43558004772239,0.82765672367705
"orange",206,0.6680545263334,7.11569976137083
"orangered3",36,1.09583973281435,1.27452849682472
"orangered4",75,0.825595232406274,6.71707682410507
"palevioletred3",52,0.950383493136543,0.619746329621957
"pink",731,0.621421589412771,6.46342474897425
"plum",38,0.953263069107125,2.19543188782024
"plum1",81,0.68479108399819,18.6145398031159
"plum2",56,1.19603793526497,-0.339905786295393
"purple",637,0.563969236301725,8.97451198965989
"royalblue",313,0.638809448855332,12.6375554301399
"saddlebrown",143,1.03986007337603,1.19178508120372
"salmon4",53,1.31779804784471,1.96069684912243
"sienna3",90,1.19257969036651,2.70024675759606
"skyblue1",39,1.07935904977836,1.81700243675252
"skyblue2",41,0.95707932648452,2.8467846439267
"skyblue3",85,1.07816822701151,-0.60868920440327
"steelblue",128,1.00619982623589,14.1479263743556
"thistle1",53,1.19490947651756,3.76756245322914
"thistle2",56,0.893336308272255,0.834530674500607
"turquoise",1531,0.954779329574454,37.2260925605419
"violet",113,0.677565411017831,64.380248802989
"white",158,1.08373739333129,5.1005840306066
"yellow",1351,0.5085448280471,33.6111723282949
"yellow4",40,0.896320906846959,26.9544601843047
"yellowgreen",89,1.0143279286192,4.2613219179231
