module,Size,Mean,Variation,Diameter,Density,Centrality,ClusterCoef,ZScore
antiquewhite4,45,3.881273691,14.91875572,0.005790726,0.088210766,0.185330206,0.368294426,1.343888988
bisque4,64,3.104329317,10.65721756,0.000583018,0.049275069,0.124059165,0.219305108,-0.260408728
black,1310,22.09242592,186.1251822,4.22E-06,0.016877331,0.043474996,0.034385617,37.06563958
blue,2717,43.15894351,992.2784336,1.70E-08,0.015890627,0.050413169,0.039075999,28.97424858
brown,1928,37.43616471,729.0707951,3.23E-07,0.019427174,0.059031838,0.0458008,33.90830855
brown4,65,2.767972825,7.589063997,0.001561409,0.043249575,0.125730255,0.177280234,1.496464181
coral1,45,3.678432512,19.95487208,0.000310351,0.083600739,0.181609883,0.549479204,1.254276199
coral2,43,2.439710205,7.767445307,0.003702901,0.058088338,0.15205242,0.317413945,0.725903309
cyan,536,12.46329064,52.93947693,5.96E-06,0.02329587,0.041231491,0.042629635,31.98287793
darkgreen,701,15.34649214,201.1359978,4.49E-06,0.02192356,0.073964003,0.07737437,54.57159432
darkgrey,337,16.44190028,238.5932899,3.94E-06,0.048934227,0.134221916,0.178926133,1.40816381
darkmagenta,100,3.386971853,20.07699381,4.18E-06,0.034211837,0.130967498,0.272884098,2.861386009
darkolivegreen,108,9.018325459,81.47505532,0.002443772,0.084283416,0.180313615,0.354777685,2.159267515
darkorange,165,17.21947964,374.4597641,3.27E-05,0.104996827,0.213389624,0.54523049,12.16760797
darkseagreen4,46,1.804335954,4.230727404,0.000282077,0.040096355,0.114632457,0.202592636,1.957638413
darkslateblue,59,3.836271739,8.290146836,0.004679006,0.066142616,0.118148306,0.167873335,0.135578355
darkturquoise,974,15.67184845,223.9110948,8.38E-06,0.01610673,0.067584953,0.059438493,46.24869795
floralwhite,66,6.710847206,40.58154823,0.00143694,0.103243803,0.180457144,0.40029249,2.99045918
green,911,16.24328859,78.58544312,2.60E-06,0.017849768,0.03897755,0.031582001,16.1555327
greenyellow,570,7.661337158,25.4634288,7.45E-06,0.013464564,0.040371157,0.028079363,41.00350624
honeydew1,47,1.776661741,2.846760875,6.26E-05,0.038623081,0.085337221,0.263235123,0.60400847
ivory,68,2.103248979,4.396425386,7.95E-05,0.031391776,0.099809125,0.119335798,0.287087903
