module,Size,Mean,Variation,Diameter,Density,Centrality,ClusterCoef,ZScore
bisque4,53,1.245453518,0.35773786,0.02280466,0.023951029,0.027521901,0.035668544,2.970348678
black,854,10.1923673,28.24872358,5.30E-06,0.011948848,0.033756549,0.019662141,17.39346823
blue,3111,41.89588004,1272.325511,1.05E-07,0.013471344,0.0556776,0.039781172,32.2440909
brown,2401,16.73166933,151.1101211,3.06E-09,0.006971529,0.039938412,0.016526206,14.33381971
brown4,54,1.349884771,1.608085342,0.016689561,0.025469524,0.043931892,0.089182755,0.549583512
coral1,33,0.751379437,0.39420802,0.024013955,0.023480607,0.042386859,0.063876217,-0.726548303
cyan,238,5.166558313,2.378059562,0.002752118,0.021799824,0.020170987,0.026172651,10.28167978
darkgreen,140,2.584306105,0.545771428,0.012941664,0.01859213,0.013547379,0.021876315,7.587449404
darkgrey,129,3.232775469,1.274569957,0.017085784,0.025256058,0.019105486,0.031644509,5.972977719
darkmagenta,75,2.084303482,3.900516338,0.004972792,0.028166263,0.067322357,0.092249356,1.221214406
darkolivegreen,80,1.850981068,0.546504625,0.006003059,0.02343014,0.0152978,0.031192734,6.190592965
darkorange,115,2.911022053,1.378845149,0.001854232,0.025535281,0.017259072,0.034240417,17.69819494
darkorange2,56,2.151181219,0.569659577,0.022159021,0.039112386,0.027434526,0.049078367,2.113442536
darkred,140,3.188082002,1.080706859,0.011755333,0.022935842,0.017207082,0.028058053,15.25467532
darkseagreen4,33,0.829384265,0.518199506,0.000102973,0.025918258,0.053557403,0.074059226,1.750051595
darkslateblue,51,1.70867549,2.202104202,0.019340806,0.03417351,0.067187477,0.10148223,0.797161939
darkturquoise,130,3.101692687,1.320363927,0.003752054,0.024044129,0.019396377,0.030942758,8.228531896
floralwhite,57,1.079509256,0.229490399,0.024330516,0.019276951,0.021205114,0.02730156,4.626757734
green,1111,24.22645166,82.40493095,0.000110464,0.021825632,0.035749307,0.02862647,35.51697607
greenyellow,408,16.51633222,70.73634524,0.001374077,0.040580669,0.052347153,0.064560428,8.838023948
grey60,171,4.646958473,2.91802907,0.009133174,0.02733505,0.01943665,0.03509563,13.01476747
honeydew1,38,0.768107651,0.219159555,0.008036115,0.020759666,0.036941113,0.04695293,0.170321519
ivory,57,0.785646498,0.249620871,0.003893631,0.014029402,0.023487011,0.031337253,4.88586552
lavenderblush3,38,0.895417932,0.529987906,0.013524545,0.024200485,0.04714539,0.063477473,-1.106847557
lightcyan,176,3.388475401,1.207878864,0.004883737,0.019362717,0.019514243,0.02381757,6.552794307
lightcyan1,66,1.86410534,0.613509247,0.033441381,0.028678544,0.024480885,0.03932801,3.948501004
lightgreen,163,2.833908769,2.303322376,0.002577915,0.017493264,0.025368057,0.028722845,18.28678716
lightpink4,39,0.904070285,0.070136302,0.079486053,0.023791323,0.014490024,0.027905021,3.324235856
lightsteelblue1,66,1.278472441,0.548220455,0.009935008,0.019668807,0.030654523,0.036331098,-0.724526612
lightyellow,158,1.883325602,0.750076271,0.000506668,0.011995704,0.019218956,0.019258769,3.991214667
magenta,571,6.472047038,14.36336648,9.53E-05,0.011354468,0.026482336,0.020806961,18.79549687
maroon,41,0.93872874,0.121967465,0.015790227,0.023468219,0.021963055,0.030273408,6.176626752
mediumpurple3,66,1.641296921,1.576871774,0.003438298,0.025250722,0.051965332,0.061885604,-0.500445677
midnightblue,201,4.010178789,1.081474583,0.011326174,0.020050894,0.013352835,0.022998661,15.55169714
navajowhite2,41,0.62561674,0.243710972,0.002875477,0.015640418,0.034038081,0.037128368,-0.121181829
orange,124,3.276535739,1.544339304,0.005051976,0.026638502,0.026126307,0.03555152,7.523144465
orangered4,70,1.654835803,0.455183021,0.023856263,0.023983128,0.02810535,0.0324773,8.771633839
paleturquoise,95,1.644504387,0.301673006,0.016368067,0.017494728,0.019392822,0.021626563,6.564229397
palevioletred3,42,1.258048308,0.150890694,0.04418175,0.030684105,0.019373921,0.036476675,3.617211638
