"","x"
"skyblue3",-0.60868920440327
"plum2",-0.339905786295393
"bisque4",-0.260408728422004
"mediumpurple2",-0.166861955805824
"lightsteelblue",0.0907963686102761
"darkslateblue",0.135578354551983
"ivory",0.287087903252535
"lightpink4",0.436532237856624
"honeydew1",0.604008470218418
"palevioletred3",0.619746329621957
"coral2",0.725903308592451
"navajowhite2",0.82765672367705
"thistle2",0.834530674500607
"lightcoral",0.972161108343382
"saddlebrown",1.19178508120372
"coral1",1.25427619947391
"orangered3",1.27452849682472
"maroon",1.33063398373541
"antiquewhite4",1.34388898769644
"darkgrey",1.40816381049455
"lightsteelblue1",1.43760675550555
"brown4",1.49646418052472
"mediumpurple3",1.78851990903335
"skyblue1",1.81700243675252
"mediumorchid",1.92075534473602
"darkseagreen4",1.95763841251666
"salmon4",1.96069684912243
"darkolivegreen",2.15926751539573
"plum",2.19543188782024
"sienna3",2.70024675759606
"skyblue2",2.8467846439267
"darkmagenta",2.86138600884124
"floralwhite",2.99045918026077
"lavenderblush3",3.56957831786251
"thistle1",3.76756245322914
"yellowgreen",4.2613219179231
"white",5.1005840306066
"pink",6.46342474897425
"orangered4",6.71707682410507
"orange",7.11569976137083
"purple",8.97451198965989
"lightcyan",9.17180596890972
"darkorange",12.1676079668799
"royalblue",12.6375554301399
"steelblue",14.1479263743556
"green",16.1555327001736
"plum1",18.6145398031159
"lightyellow",22.8743616880473
"yellow4",26.9544601843047
"midnightblue",28.901623402666
"blue",28.9742485828595
"cyan",31.9828779328214
"yellow",33.6111723282949
"brown",33.9083085537761
"lightgreen",35.5596159046638
"black",37.0656395813849
"turquoise",37.2260925605419
"lightcyan1",39.7676860892248
"greenyellow",41.0035062382314
"darkturquoise",46.2486979543459
"darkgreen",54.5715943238374
"violet",64.380248802989
