"","x"
"lavenderblush3",-1.10684755660389
"coral1",-0.726548302822292
"lightsteelblue1",-0.724526612422445
"red",-0.571486729955378
"mediumpurple3",-0.500445677340119
"salmon4",-0.455560075579031
"sienna3",-0.130854826548999
"navajowhite2",-0.121181828956067
"plum1",0.099346144371517
"thistle1",0.163493192018008
"honeydew1",0.170321518981452
"brown4",0.549583511960645
"darkslateblue",0.797161939482729
"darkmagenta",1.22121440599565
"pink",1.53349540209417
"darkseagreen4",1.750051595329
"darkorange2",2.11344253646815
"bisque4",2.97034867782305
"lightpink4",3.32423585574552
"palevioletred3",3.61721163751532
"yellowgreen",3.62363572553848
"royalblue",3.9033368330684
"lightcyan1",3.94850100418313
"lightyellow",3.99121466675384
"saddlebrown",4.38847752607087
"steelblue",4.62183414988107
"floralwhite",4.62675773381953
"skyblue3",4.70987297938215
"ivory",4.88586552033464
"darkgrey",5.97297771874741
"maroon",6.17662675156747
"darkolivegreen",6.19059296546939
"lightcyan",6.55279430739115
"paleturquoise",6.56422939725595
"orange",7.52314446456857
"darkgreen",7.58744940354582
"darkturquoise",8.22853189557604
"orangered4",8.77163383852058
"greenyellow",8.83802394829697
"thistle2",9.95442991671182
"cyan",10.2816797805487
"skyblue",11.3082040549855
"tan",11.660965075516
"white",12.6900562392678
"grey60",13.0147674698207
"brown",14.3338197074166
"darkred",15.2546753196843
"midnightblue",15.5516971424266
"black",17.3934682250951
"darkorange",17.6981949420513
"lightgreen",18.2867871600753
"violet",18.4991376856192
"magenta",18.7954968708948
"turquoise",21.1537647724111
"plum2",23.6017294829401
"blue",32.2440908994122
"green",35.5169760711837
"salmon",44.8148309902278
"yellow",45.6032432078926
"purple",140.512477304845
